"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Arduino_Nano_BLE_33_SENSE","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf.TBD","","1",""
"A2","Arduino_Nano_BLE_33","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf.TBD","","1",""
"C1","12065C503JAT2A","","","1",""
"C2,C3","12102C104KAT2A","","","2",""
"CR1","1N5226BFSCT-ND","","","1",""
"F1","F2339CT-ND","","","1",""
"J9","0525591853","525591853","CON_525591853_MOL","1",""
"R1","MFR-25FBF52-86R6","MFR-25FBF52-86R6","","1",""
"SW1","500SSP1S2M2QEA","","SW_500SSP1S2M2QEA","1",""
"U2","MAX7480ESA+","","","1",""
